Significant,-LOG10 p-value,l2fc,Protein IDs,Majority protein IDs,Protein names,Gene,4721,4945,4715,4718,4524,4722,4716,4717
+,2.37382201264424,0.556231021881104,XP_013848366;XP_005659594;NP_001005726,XP_013848366;XP_005659594;NP_001005726,annexin A2 isoform X1;annexin A2 isoform X1;annexin A2,ANXA2,31.87371635,32.01225281,31.86562729,31.62422752,31.54000854,31.08385277,31.28906631,31.23797226
,1.87501526456413,-0.23353385925293,XP_013852454;NP_001005730,XP_013852454;NP_001005730,glucosylceramidase isoform X1;lysosomal acid glucosylceramidase precursor,GBA,28.2920208,28.17030716,28.1897583,28.22154045,28.63096809,28.43563271,28.35846329,28.38269806
,0.74148401398976,0.104812145233154,NP_001007518,NP_001007518,"cytochrome c oxidase subunit 5B, mitochondrial precursor",COX5B,28.85412407,29.00809097,28.92518616,28.79921722,28.9446125,28.71868706,28.77740288,28.7266674
,1.74716722177633,-0.352176666259766,NP_001007519,NP_001007519,heat shock protein beta-1,HSPB1,30.88022804,30.59405899,30.53528786,30.86186218,30.9814167,30.97773743,31.07648087,31.24450874
,0.737449476888658,-0.279139041900635,XP_013840479;XP_013840478;XP_005672726;NP_001008687,XP_013840479;XP_013840478;XP_005672726;NP_001008687,major prion protein isoform X1;major prion protein isoform X1;major prion protein isoform X1;major prion protein precursor,PRNP,27.88396072,27.34840775,27.57333183,27.50370026,27.6036396,27.67188835,28.25862694,27.89180183
,1.84766954394412,0.328316688537598,NP_001008689,NP_001008689,GTP-binding protein SAR1b,SAR1B,27.4510479,27.49548912,27.43364525,27.36594582,26.85019302,27.10828972,27.27097321,27.20340538
,0.576255386382859,0.349863529205322,NP_001009576,NP_001009576,radixin,RDX,27.56768608,26.6031456,27.34544945,26.63256264,26.91957092,26.54629326,26.93066597,26.3528595
,1.25672596542771,0.192967414855957,NP_001009581,NP_001009581,Golgi resident protein GCP60,ACBD3,28.0065136,28.07734871,28.00763512,27.99609566,27.84158134,27.99695778,27.61505508,27.86212921
+,2.23183218151797,-0.558086395263672,XP_005665171;XP_005665169;NP_001009582;XP_001928591,XP_005665171;XP_005665169;NP_001009582,stathmin isoform X1;stathmin isoform X1;stathmin,STMN1,29.06843185,28.91496086,29.1940155,29.10196877,29.3431015,29.59356117,29.93072319,29.6443367
,1.10939182392186,-0.291241645812988,NP_001011507,NP_001011507,lysosome-associated membrane glycoprotein 1 precursor,LAMP1,27.23772049,27.19046402,27.08760071,27.07530975,27.40064049,27.17006874,27.79952621,27.38582611
,0.279629998936661,0.0642232894897461,NP_001011509,NP_001011509,heme-binding protein 1,HEBP1,27.79228401,27.62617111,27.96587181,27.84810448,27.90357208,27.79042053,27.64780426,27.63374138
,0.220076305401561,-0.0434637069702148,NP_001011727,NP_001011727,adenosylhomocysteinase,AHCY,31.289011,31.24892426,31.16716385,31.15629387,31.33878326,31.40542603,31.2130928,31.07794571
,1.23110187724135,-0.33323860168457,NP_001012299,NP_001012299,secretogranin-2 precursor,SCG2,34.36260986,33.98472977,34.15391159,34.36417389,34.26010132,34.50556946,34.67419434,34.7585144
,0.359006170563497,-0.192385196685791,XP_020956154;XP_020956153;XP_020956152;XP_020956151;XP_020956150;NP_001018042,XP_020956154;XP_020956153;XP_020956152;XP_020956151;XP_020956150;NP_001018042,guanylate cyclase soluble subunit beta-1 isoform X2;guanylate cyclase soluble subunit beta-1 isoform X2;guanylate cyclase soluble subunit beta-1 isoform X1;guanylate cyclase soluble subunit beta-1 isoform X1;guanylate cyclase soluble subunit beta-1 isoform,GUCY1B1,23.54839706,23.55555153,23.60557747,24.03829384,23.70967293,23.65709114,24.4758358,23.67476082
,0.068822343943839,0.212395191192627,NP_001020387;XP_020954088;XP_020954089,NP_001020387;XP_020954088,histone H1.2;LOW QUALITY PROTEIN: histone H1.1,H1-2,26.60045433,30.15725899,28.66509247,26.43053818,27.40405655,26.68565369,27.2753315,29.63872147
,0.188148154976787,0.0215330123901367,XP_020946863;NP_001026954,XP_020946863;NP_001026954,ADP-ribosylation factor-like protein 1 isoform X1;ADP-ribosylation factor-like protein 1,ARL1,27.61932945,27.68217468,27.55808067,27.65068436,27.50301743,27.62491608,27.62303352,27.67317009
,0.094313787725432,-0.0144619941711426,NP_001026955,NP_001026955,ADP-ribosylation factor-like protein 3,ARL3,28.48631096,28.50642776,28.56627083,28.69461441,28.53166771,28.63446808,28.51878357,28.62655258
,1.41008906520922,0.289744853973389,XP_005657451;XP_005657450;NP_001026956,XP_005657451;XP_005657450;NP_001026956,GTP-binding protein SAR1a isoform X1;GTP-binding protein SAR1a isoform X1;GTP-binding protein SAR1a,SAR1A,29.94962883,30.30671692,30.31926346,30.23203468,29.72626114,29.90454865,30.04531097,29.97254372
,1.52621420467263,0.0887660980224609,NP_001026957,NP_001026957,ras-related protein Rab-1A,RAB1A,28.18980408,28.17540932,28.23402405,28.14695549,28.03642845,28.10259438,28.16086769,28.09123802
,0.253170220786468,-0.114795207977295,NP_001026959;XP_005669939,NP_001026959;XP_005669939,retinol-binding protein 1;retinol-binding protein 1 isoform X1,RBP1,27.13887596,27.35068512,27.55946732,27.48876381,27.76603889,27.59832573,27.59995651,27.0326519
,0.140648201566723,0.196128368377686,XP_020957916;NP_001026963,XP_020957916;NP_001026963,nicotinamide phosphoribosyltransferase isoform X1;nicotinamide phosphoribosyltransferase,NAMPT,26.15100861,26.07159042,26.365345,25.88327217,26.47450829,26.33265305,26.51083946,24.36870193
,0.959044754698774,1.37444400787354,NP_001026964,NP_001026964,SPARC precursor,SPARC,27.56289101,27.57809067,27.12996483,27.80094719,26.03271484,27.4718132,26.89365387,24.17593575
,0.199846574762649,-0.278985977172852,NP_001026966;XP_020927841,NP_001026966;XP_020927841,2-5-oligoadenylate synthase 2;2-5-oligoadenylate synthase 2 isoform X1,OAS2,25.59917641,25.26270103,25.81755829,24.4542923,26.69670486,24.53312302,25.17120171,25.84864235
,0.009577047620032,0.00513458251953125,NP_001026967,NP_001026967,FAS-associated death domain protein,FADD,25.15236282,25.68696404,25.81467628,25.63458633,25.83925247,25.59391594,25.32295799,25.51192474
+,3.24544396211706,-0.939001560211182,XP_020939620;XP_020939598;XP_020939588;XP_020939579;XP_020939575;XP_020939572;XP_020939548;XP_013848422;XP_013848420;XP_013848419;XP_013848418;XP_013848417;XP_005659642;XP_005659641;XP_005659640;XP_005659639;XP_005659638;XP_005659637;NP_001027528,XP_020939620;XP_020939598;XP_020939588;XP_020939579;XP_020939575;XP_020939572;XP_020939548;XP_013848422;XP_013848420;XP_013848419;XP_013848418;XP_013848417;XP_005659642;XP_005659641;XP_005659640;XP_005659639;XP_005659638;XP_005659637;NP_001027528,ras-related protein Rab-27A isoform X1;ras-related protein Rab-27A isoform X1;ras-related protein Rab-27A isoform X1;ras-related protein Rab-27A isoform X1;ras-related protein Rab-27A isoform X1;ras-related protein Rab-27A isoform X1;ras-related protein Ra,RAB27A,29.46025658,29.53795433,29.34163857,29.37953949,29.96788025,30.50161362,30.54480553,30.46109581
,0.193575643264362,0.0327005386352539,NP_001027548;XP_020935163;XP_020935162,NP_001027548;XP_020935163;XP_020935162,hypoxanthine-guanine phosphoribosyltransferase;hypoxanthine-guanine phosphoribosyltransferase isoform X2;hypoxanthine-guanine phosphoribosyltransferase isoform X1,HPRT1,29.74991035,29.66599083,29.66763306,29.82752228,29.56467247,29.64792442,29.77368355,29.79397392
+,1.23580585852663,1.1772518157959,NP_001027551,NP_001027551,mps one binder kinase activator-like 3,MOBKL3,26.04487228,24.2469368,25.58900833,26.08040047,23.96422005,23.89619637,24.34537888,25.04641533
+,3.44828488778323,0.253137111663818,NP_001032223;XP_020933343,NP_001032223,40S ribosomal protein SA,RPSA,31.19683266,31.30340004,31.3358593,31.33564568,31.02808571,31.0516777,31.01291847,31.06650734
,0.358762840190282,0.0511436462402344,NP_001032228,NP_001032228,triosephosphate isomerase,TPI1,33.14294052,33.12709427,33.25363922,33.28209305,33.01649475,33.19263458,33.23720169,33.15486145
,0.944677216066954,-0.202845096588135,NP_001032810,NP_001032810,cathepsin D precursor,CTSD,31.97387695,31.73815918,31.7946701,31.75058937,32.22239304,32.12176514,31.92270088,31.80181694
,0.00853590692326304,0.0118436813354492,NP_001033050,NP_001033050,proteasome subunit beta type-9,PSMB9,25.03431129,24.39656258,23.87895584,24.74015999,25.00979424,25.32966805,23.93723869,23.725914
,1.23807975630988,-0.262942790985107,NP_001033089;XP_020932989;XP_020932988,NP_001033089,peptidyl-prolyl cis-trans isomerase FKBP1A,FKBP1A,30.20466423,30.03196716,29.94670486,29.9819622,30.29821777,30.0496006,30.5162487,30.35300255
,0.528900267244628,0.0408773422241211,NP_001033096,NP_001033096,serine/arginine-rich splicing factor 1,SRSF1,29.75867271,29.75733757,29.79038811,29.68754005,29.63996315,29.73621559,29.7688961,29.68535423
+,2.23813722788536,-0.333072662353516,NP_001033712,NP_001033712,guanine nucleotide-binding protein G(q) subunit alpha,GNAQ,27.16125298,27.14715004,26.85186195,27.15961838,27.39018059,27.47738266,27.41441727,27.37019348
+,3.56135072484294,-2.61668920516968,NP_001033725,NP_001033725,paralemmin-1,PALM,23.87793922,22.8176651,24.4087925,23.46584511,26.08879471,26.30500793,26.45907593,26.18412018
,0.225426563933014,-0.0977778434753418,NP_001034835,NP_001034835,"fatty acid-binding protein, epidermal",FABP5,29.76148224,29.7325325,29.65400124,29.71831131,29.74853706,30.25631142,29.41667366,29.83591652
+,2.65917833639307,-1.23006057739258,NP_001034838,NP_001034838,dickkopf-related protein 3 precursor,DKK3,30.66805458,30.58530998,30.55928421,30.52999306,31.61227989,31.25394821,32.06792068,32.32873535
,0.54303677888977,-0.636182308197021,NP_001037992,NP_001037992,beta-enolase,ENO3,24.23105621,24.7165432,26.09331512,24.3491993,25.62986946,25.35887337,24.66260338,26.28349686
,0.817848931620694,0.132435321807861,NP_001038000,NP_001038000,26S proteasome non-ATPase regulatory subunit 4,PSMD4,28.70269394,28.58150673,28.90807533,28.72517204,28.54000854,28.53808403,28.72663498,28.5829792
,0.326271202558846,-0.174945831298828,NP_001038003;NP_001090987;XP_005654564,NP_001038003,guanine nucleotide-binding protein subunit alpha-11,GNA11,25.13437843,25.14670372,25.0444355,24.82531929,24.58379364,25.56185722,25.36299133,25.34197807
,0.530949594709286,0.63137674331665,NP_001038006;XP_013839744;XP_020930378,NP_001038006;XP_013839744;XP_020930378,metaxin-2;metaxin-2 isoform X1;metaxin-2 isoform X2,MTX2,26.4571209,26.84421921,26.56379318,26.60611343,26.57657814,26.3989296,24.36143684,26.60879517
,0.674623319263713,1.84635877609253,NP_001038007,NP_001038007,60S ribosomal protein L6,RPL6,26.48189926,29.4782505,27.16662598,26.77152824,24.12343216,24.32962227,25.09939957,28.96041489
,0.410466705376519,0.354580402374268,NP_001038008;XP_003121835,NP_001038008;XP_003121835,60S ribosomal protein L10;60S ribosomal protein L10-like,RPL10,28.26293373,29.35659599,28.39737892,28.53845406,28.21872711,27.73821449,28.07382965,29.10626984
,0.725885602960006,-0.0526237487792969,NP_001038009,NP_001038009,tubulin alpha-1B chain,TUBA1B,34.78244019,34.90513229,34.87202072,34.90539932,34.86203003,34.92773438,34.9586525,34.92707062
,0.247150490021155,0.521111965179443,XP_013852265;XP_005663204;NP_001038021,XP_013852265;XP_005663204;NP_001038021,microsomal glutathione S-transferase 3 isoform X1;microsomal glutathione S-transferase 3 isoform X1;microsomal glutathione S-transferase 3,MGST3,26.6815052,26.54533577,26.17184448,26.48862648,26.83013916,26.76116371,26.81518936,23.39637184
+,1.71956913608468,0.818525314331055,XP_020944412;XP_020944411;NP_001038022,XP_020944412;XP_020944411;NP_001038022,protein S100-A6 isoform X1;protein S100-A6 isoform X1;protein S100-A6,S100A6,28.0518055,28.37823868,28.47992897,27.73117447,27.70028305,26.79265594,27.46154594,27.41256142
,0.590727856166032,0.673038959503174,NP_001038024,NP_001038024,serine/threonine-protein phosphatase PP1-alpha catalytic subunit,PPP1CA,26.23438072,26.4642601,25.80101967,26.4228611,26.20949745,26.1085701,24.0259285,25.88636971
,0.624852075504005,-0.423178195953369,NP_001038025,NP_001038025,serine/threonine-protein phosphatase PP1-gamma catalytic subunit,PPP1CC,25.02948189,26.03214645,26.37684822,26.17801476,26.45381355,26.58505821,26.20832634,26.062006
,0.437962679881234,0.0590839385986328,NP_001038037;NP_001231180;NP_001231401,NP_001038037;NP_001231180;NP_001231401,myosin regulatory light chain 2 protein isoform 1;myosin regulatory light chain 2 protein isoform 2;myosin regulatory light polypeptide 9,MYL9,30.16794205,30.31202888,30.21662331,30.11284447,30.19131088,30.17474174,30.19213486,30.01491547
,0.911927970234893,0.111110210418701,NP_001038040;XP_020932991,NP_001038040;XP_020932991,isocitrate dehydrogenase;isocitrate dehydrogenase,IDH3B,27.90063858,27.79958916,27.84941864,27.77912712,27.76110077,27.65294075,27.6118927,27.85839844
,0.224931338179625,-0.0563192367553711,NP_001038043,NP_001038043,granulins precursor,GRN,29.55926704,29.76572418,29.46376801,29.72984505,29.80805397,29.80239487,29.60823059,29.5252018
,1.60632141571933,-0.287907600402832,NP_001038045,NP_001038045,signal transducer and activator of transcription 3,STAT3,27.7091198,27.78487778,27.83013916,27.63103676,28.12124443,27.79643631,28.18985176,27.99927139
,0.352361012292922,0.57832670211792,XP_013844321;NP_001038047,XP_013844321;NP_001038047,zinc finger Ran-binding domain-containing protein 2 isoform X1;zinc finger Ran-binding domain-containing protein 2,ZRANB2,23.46155739,25.41586876,25.76225471,25.56952667,25.80950928,23.95806313,24.35430336,23.77402496
,1.54338499973098,-0.305484294891357,NP_001038049;XP_020949263;XP_020949264,NP_001038049;XP_020949263;XP_020949264,quinone oxidoreductase;quinone oxidoreductase isoform X1;quinone oxidoreductase isoform X2,CRYZ,27.50104523,27.73814964,27.92110443,27.81549454,27.93247032,28.04338264,28.01190567,28.20997238
+,2.43302830343624,0.375771522521973,NP_001038050,NP_001038050,cystathionine gamma-lyase,CTH,27.92603493,27.80230331,28.0923481,27.98815155,27.52282906,27.71050072,27.45912361,27.61329842
,0.470210711190781,-0.105577945709229,NP_001038052,NP_001038052,serine/arginine-rich splicing factor 11,SRSF11,25.80796242,25.71195793,25.8587532,25.53216553,25.98925781,25.92100334,25.71053886,25.71235085
+,1.9037187267244,-0.695425510406494,NP_001038055;CON__P06868,NP_001038055,plasminogen precursor,PLG,29.34899902,29.4966507,29.09282684,29.37067223,30.01385117,30.26405334,29.52151871,30.29142761
+,3.05178563948455,-0.585253238677979,NP_001038063,NP_001038063,GTP-binding protein Di-Ras3,DIRAS3,25.26409721,25.36151886,25.60735703,25.64647293,26.00215149,26.05854225,26.04522705,26.11453819
,0.254754767120624,-0.0331625938415527,XP_020957928;XP_020957927;XP_020957926;NP_001038066,XP_020957928;XP_020957927;XP_020957926;NP_001038066,40S ribosomal protein S3 isoform X1;40S ribosomal protein S3 isoform X1;40S ribosomal protein S3 isoform X1;40S ribosomal protein S3,RPS3,30.78970528,30.73811913,30.76675034,30.9106369,30.76667213,30.78066063,30.86489105,30.9256382
,0.620943908136826,-0.193830490112305,NP_001038067,NP_001038067,cystatin-C precursor,CST3,29.97691917,29.67192268,29.92959404,30.09244919,30.25698662,30.08878899,30.31527328,29.78515816
,2.00557047890679,-0.209354877471924,NP_001038071,NP_001038071,"ATP synthase subunit O, mitochondrial precursor",ATP5PO,29.70668411,29.48235321,29.60142899,29.64653587,29.9028244,29.76086235,29.81578445,29.79495049
,0.334290627866905,0.0968337059020996,XP_020949269;XP_020949268;NP_001038072,XP_020949269;XP_020949268;NP_001038072,"delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial isoform X2;delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial isoform X1;delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",ECH1,27.05486298,27.24118042,27.18725777,26.78231812,26.80624199,27.04385185,26.91125107,27.11693954
+,3.56149019674485,0.710436820983887,NP_001038075,NP_001038075,nucleoside diphosphate kinase B,NME2,29.59766769,29.56648827,29.83597755,29.8599987,28.87645531,28.95809174,29.10056686,29.08327103
,1.19580518562367,0.480240345001221,NP_001038076,NP_001038076,"aldehyde dehydrogenase, mitochondrial precursor",ALDH2,28.39456177,28.83189201,28.79560089,28.51709366,28.5471611,27.67431641,28.27719498,28.11951447
,0.761662225230932,0.118216991424561,NP_001038077;CON__ENSEMBL:ENSBTAP00000025008,NP_001038077,tubulin beta chain,TUBB,31.61227989,31.67879677,31.66008377,31.70553207,31.49022865,31.51017761,31.76049805,31.42292023
,0.165478878185463,0.0322079658508301,XP_020932993;XP_020932992;XP_005672893;NP_001038078,XP_020932993;XP_020932992;XP_005672893;NP_001038078,microtubule-associated protein RP/EB family member 1 isoform X1;microtubule-associated protein RP/EB family member 1 isoform X1;microtubule-associated protein RP/EB family member 1 isoform X1;microtubule-associated protein RP/EB family member 1,MAPRE1,29.15506363,29.16451645,29.03231049,28.96722031,29.04692459,29.00469208,29.20571327,28.93294907
,0.516389759519076,0.142077922821045,NP_001038084,NP_001038084,mannose-P-dolichol utilization defect 1 protein,MPDU1,26.32567024,26.46273232,25.97797203,26.09440231,26.06198502,26.04410172,25.94136429,26.24501419
,0.688139828488009,-0.156275272369385,NP_001038086;XP_013846182,NP_001038086;XP_013846182,cyclin-dependent-like kinase 5;cyclin-dependent-like kinase 5 isoform X1,CDK5,27.57614517,27.41304588,27.5127697,27.3939476,27.43952179,27.62825775,27.5421505,27.91107941
,0.558251170180517,-0.492124080657959,NP_001041534;XP_013836206,NP_001041534;XP_013836206,hematological and neurological expressed 1 protein;hematological and neurological expressed 1 protein isoform X1,JPT1,25.83308792,24.25904655,25.94297409,25.86535454,25.9595623,26.1509304,25.90832138,25.85014534
+,2.1864468215392,0.457479476928711,NP_001041535,NP_001041535,hematological and neurological expressed 1-like protein,JPT2,26.67640305,26.81506729,26.68002892,26.6320076,26.43071365,26.41722107,26.091259,26.03439522
,1.3477512211405,0.319451332092285,NP_001041537;XP_020924286,NP_001041537,ADP-ribosylation factor 4,ARF4,30.48970222,30.72036934,30.4919014,30.56138039,30.07660866,30.12521744,30.58010674,30.20361519
,0.14766521295313,-0.0500473976135254,NP_001041538,NP_001041538,PRA1 family protein 3,ARL6IP5,26.82152939,27.10828972,26.87197113,26.98522377,26.83532906,26.77203178,27.19835472,27.18148804
,1.24864854473075,0.149055957794189,NP_001070681,NP_001070681,macrophage migration inhibitory factor,MIF,32.00061417,32.23380661,32.1452179,32.11978531,31.9621315,31.89403152,31.9573307,32.08970642
+,2.98202998546528,-0.373814105987549,XP_005660386;NP_001070683;XP_020939972;XP_013849207;XP_013849206;XP_013849205,XP_005660386;NP_001070683;XP_020939972;XP_013849207;XP_013849206;XP_013849205,polypyrimidine tract-binding protein 3 isoform X5;polypyrimidine tract-binding protein 3;polypyrimidine tract-binding protein 3 isoform X4;polypyrimidine tract-binding protein 3 isoform X3;polypyrimidine tract-binding protein 3 isoform X2;polypyrimidine tr,PTBP3,27.79550743,27.67747879,27.61371994,27.71056557,28.15942574,28.05491447,28.14082718,27.93736076
,0.365030757359958,1.01791143417358,NP_001070685,NP_001070685,serine/arginine-rich splicing factor 6,SRSF6,28.39705276,28.37828064,28.26780701,28.18162918,23.67313766,28.5138607,28.61544037,28.35068512
,0.00354005639337883,0.00114774703979492,XP_005663912;NP_001070686;XP_005663911;XP_020922747,XP_005663912;NP_001070686;XP_005663911,heterogeneous nuclear ribonucleoprotein A1 isoform X2;heterogeneous nuclear ribonucleoprotein A1;heterogeneous nuclear ribonucleoprotein A1 isoform X1,HNRNPA1,31.08258438,31.05872536,31.12903023,31.04596138,31.19765282,31.13130188,31.21980095,30.76295471
,0.990144026474329,0.659283638000488,NP_001070688;XP_005673633;XP_005673632;XP_005673631;XP_005673630,NP_001070688;XP_005673633;XP_005673632;XP_005673631;XP_005673630,regucalcin;regucalcin isoform X1;regucalcin isoform X1;regucalcin isoform X1;regucalcin isoform X1,RGN,24.23549461,25.06993294,25.26076317,25.14988518,23.64743423,24.86527252,24.321558,24.24467659
,0.415761780721452,-0.0593552589416504,XP_020924292;XP_020924291;NP_001070689;XP_020924289,XP_020924292;XP_020924291;NP_001070689;XP_020924289,transformer-2 protein homolog beta isoform X2;transformer-2 protein homolog beta isoform X2;transformer-2 protein homolog beta;transformer-2 protein homolog beta isoform X1,TRA2B,28.58204651,28.66173363,28.52309036,28.67128181,28.5614357,28.76597595,28.75200272,28.59615898
,0.500267826271547,0.0675997734069824,NP_001070690,NP_001070690,U1 small nuclear ribonucleoprotein A,SNRPA,28.38121223,28.31777573,28.21835709,28.20536423,28.30452156,28.23109818,28.22949409,28.08719635
